Game,AppId
Apocalypse: Party's Over,368800
Apocalyptic Vibes,1840610
Apocryph,596240
Apollo4x,365420
Aporia: Beyond The Valley,573130
Apostle: Rebellion,1419750
Apotheon,208750
Appointment With FEAR,316140
Approaching Blocks,467390
Apsulov: End of Gods,960980
APT,357690
Aqua Kitty - Milk Mine Defender,263880
Aqua Panic!,340700
Aquaculture Land,858630
AquaNimble,498380
Aquanox Deep Descent,254370
Aquarist,1430760
Aquatico,1812300
AR-K,269890
AR-K: The Great Escape,368890
Ara Fell: Enhanced Edition,440540
Ara: History Untold,2021880
Aragami,280160
Aragami 2,1158370
Arboria,924070
ARC SEED,2332970
Arca's Path VR,842120
Arcade Paradise,1388870
Arcade Spirits,910630
Arcade Spirits: The New Challengers,1484620
Arcadegeddon,1515640
Arcadia Fallen,1174640
Arcadie: Second-Born,2196980
Arcana Alchemia,2527460
Arcana Heart 3 LOVE MAX!!!!!,370460
Arcana: Heat and Cold. Season 1,1357830
Arcana: Heat and Cold. Season 2,1679870
Arcana: Heat and Cold. Stories,2426310
Arcane Sorcery,397870
Arcane Vale,1907380
Archaica: The Path of Light,550590
Archangel™: Hellfire,553880
Archeblade,207230
Archeo: Shinar,1001980
Archibald's Adventures,461480
Archimedes,530920
Archipelago,513720
Archtower,1837690
Arclight Cascade,391210
Arco,2366970
ArcRunner,1575830
Arctic alive,436860
Arctic Eggs,2763670
Arctico,325210
Area-X,350550
Arelite Core,466160
ARENA an Age of Barbarians story,570970
Arena Hero,576280
Arena: Blood on the Sand VR,577890
Ares Omega,405440
Arevan,385900
ARIDA: Backland's Awakening,907760
Arietta of Spirits,1140170
Arise: A Simple Story,866140
Aritana and the Harpy's Feather,314360
Arizona Rose and the Pharaohs' Riddles,575800
Arizona Rose and the Pirates' Riddles,537760
Arizona Sunshine,342180
ARK BOX Unlimited,553780
Ark Mobius,1594090
Ark Mobius:Censored Edition,1731520
Ark Noir,739220
Arkham Nightmares,513810
Arkshot,468800
Arma 3,107410
Arma Tactics,224860
ARMED SEVEN,349690
Armed to the Gears,804870
Armed with Wings: Rearmed,340580
Armello,290340
ARMORED CORE™ VI FIRES OF RUBICON™,1888160
Armored Freedom,586150
ARMORED HEAD,805590
Armored Hunter GUNHOUND EX,273240
Armored Kitten,713530
Armored Warfare,443110
Armoured Commander II,1292020
Army Gals,420980
Army General,606950
Army of Pixels,390920
Army of Ruin,1918040
Army of Tentacles: (Not) A Cthulhu Dating Sim,427930
Around the World in 80 days: Hidden Objects,736860
Arrest of a stone Buddha,1151120
Arrow Heads,580890
Arson & Plunder: Unleashed,293600
ArsonVille,553610
Art Of Gravity,642560
art of rally,550320
Art of War: Red Tides,558100
articy:draft 3,570090
Artifact Adventure,359440
Artifact Seeker: Resurrection,3054610
Artificial Defense,443420
Artillerists,552030
Artisan TD,2224640
Artisan: Going Home Again,525050
Arvale,392920
Arzette: The Jewel of Faramore,1924780
As Far As The Eye,1119700
ASA: A Space Adventure - Remastered Edition,329980
Ascendant,296930
Ascendant Hearts,595730
Ascender,598230
ASCII Attack,370490
Aselia the Eternal -The Spirit of Eternity Sword-,445420
Asguaard,332380
Ash of Gods: Redemption,691690
Ash of Gods: The Way,1293460
Ashen,649950
Ashes of Immortality,362130
Ashes of Immortality II,362140
Ashes of Immortality II - Bad Blood,362150
Ashes of the Singularity: Classic,228880
Ashes of the Singularity: Escalation,507490
Ashmedai: Queen of Lust,1332620
Ashworld,580320
ASMR Universe,448830
Aspectus: Rinascimento Chronicles,342250
Asphyxia,386990
ASRECorp,498580
Assassin's Creed Odyssey,812140
Assassin's Creed Origins,582160
ASSASSINATION BOX,551550
Assassins vs Pirates,425150
Assassin’s Creed® Chronicles: China,354380
Assassin’s Creed® Chronicles: India,359610
Assassin’s Creed® Chronicles: Russia,359600
Assault Android Cactus,250110
ASSAULT GUNNERS HD EDITION,751340
Assault on Arnhem,450290
Astalon: Tears of the Earth,1046400
Astebreed: Definitive Edition,283680
Asteria,307130
Asterigos: Curse of the Stars,1731070
Asterix & Obelix XXL 2,887060
Asteroid Bounty Hunter,444220
Astervoid 2000,423870
ASTLIBRA ～生きた証～ Revision,1718570
Astral Ascent,1280930
Astral Breakers,406120
Astral Traveler,618630
Astrea: Six-Sided Oracles,1755830
Astria Ascending,1121780
Astro Duel,429690
Astro Emporia,346080
Astro Lords,385530
Astroloco: Worst Contact,357490
Astrologaster,742520
Astronarch,1234940
Astronite,1489590
Asura: Vengeance Edition,524640
AT SUNDOWN: Shots in the Dark,419700
At the Mountains of Madness,393820
At Your Feet,1537800
Atari 50: The Anniversary Celebration,1919470
Atari Mania,1911800
Athenian Rhapsody,1671720
Atlantic Quest 2 - New Adventure -,412530
Atlantis: Pearls of the Deep,521280
Atlas Fallen,1230530
Atlas Reactor,402570
ATOM GRRRL!!,432490
ATOM RPG,552620
ATOM RPG Trudograd,1139940
ATOMEGA,619880
Atomic 79,567370
Atomic Butcher: Homo Metabolicus,523970
Atomic Heart,668580
Atomic Reconstruction,568500
ATOMINE,603100
Atonement 2: Ruptured by Despair,533820
Atonement: Scourge of Time,385070
ATRI -My Dear Moments-,1230140
Atriage,454780
Attack Helicopter Dating Simulator,594350
Attack Heroes,428200
Attack of the Labyrinth +,357830
Attack on Toys,1269690
Attempt[42],562520
Attentat 1942,676630
Audio Arena,457770
AudioTheory Guitars,1176110
AudioTheory Piano Keys,1513510
AURA: Hentai Cards,2440200
Auralux: Constellations,444130
Aurion: Legacy of the Kori-Odan,368080
Aurora Dusk: Steam Age,397160
Aurora Nights,466870
Australian Football Coach,578010
Auto Dealership Tycoon,393920
Autobahn Police Simulator,348510
Autobahn Police Simulator 3,1065520
Automachef,984800
Automata Empire,423800
Automon,1822710
Autonauts,979120
Autonauts vs Piratebots,1907720
Autumn,473520
Autumn Dream,521980
Avadon 3: The Warborn,460780
Avalanche 2: Super Avalanche,351250
Avalon Legends Solitaire 2,512260
Avalon Lords: Dawn Rises,329280
Avaris 2,421890
Aven Colony,484900
Avenger Bird,557030
Avenging Angel,367240
Avernum 3: Ruined World,691830
Aviary Attorney,384630
Aviator - Bush Pilot,273830
AVICII Invector,986800
Avoid Sensory Overload,286660
Avorion,445220
AWA,489580
Awaken,555970
Awaken: Hentai Dice,3016920
Awakening of Solutio,464820
Awakening: The Redleaf Forest Collector's Edition,455080
Awareness Rooms,453290
Awe,371450
Awesome Machine,626160
Awesome Metal Detecting,582810
Awesomenauts,204300
AX:EL,319830
"Axe, Bow & Staff",432230
Axes and Acres,448910
Axiom Verge,332200
Axion,380570
Axis Football 2015,370090
Axis Football 2016,501190
Axis Football 2018,932980
AXYOS,318100
Ayakashigami,565690
Ayumi: Enhanced Edition,497790
Azkend 2: The World Beneath,550440
Aztecalypse,517010
Aztez,244750
Azur Lane: Crosswave,1150080
AZURA,709410
Azure Reflections,928440
Azure Saga: Pathfinder,672590
Azure Striker Gunvolt,388800
Azure Striker Gunvolt 2,1065180
Azure Striker Gunvolt 3,1931690
Azurea Juncture,557860
B.C.E.,516960
B.I.O.T.A.,1640320
Babel: Choice,430170
Babylon 2055 Pinball,458500
Back 4 Blood,924970
Back to Bed,308040
Backgammon Blitz,395900
Backrooms Break,2248330
Backstage Pass,288220
Bacon Man: An Adventure,327760
Bacon Tales - Between Pigs and Wolves,508200
Bacteria,448470
Bad 2 Bad: Apocalypse,2782610
Bad birthday,551680
Bad Caterpillar,447950
BAD END,415850
Bad Hotel,231720
Bad Memories,1595030
Bad Pad,517210
Bad Rats,34900
Bad Rats Show,393200
Bad Sector HDD,531910
BADASS,588920
Badland Bandits,378480
BADLAND: Game of the Year Edition,269670
Baezult,509860
Bagel Love Story,2798600
Bai Qu: Hundreds of Melodies,516600
Bail or Jail,1715980
BAKERU,2969380
Bakery,746620
Bakumatsu Renka SHINSENGUMI,1451160
BALAN WONDERWORLD,1341050
BalanCity,462680
Balatro,2379780
Baldur's Gate II: Enhanced Edition,257350
Baldur's Gate: Enhanced Edition,228280
Ball 2D: Soccer Online,703940
Ball laB II,622950
Ball of Wonder,508760
Ballad of Solar,302490
Ballistic Tanks,493060
Ballistick,518620
BallisticNG,473770
Balloon Blowout,542740
Balloon Popping Pigs,575590
Ballpoint Universe: Infinite,259390
Balthazar's Dream,583890
Band of Defenders,644640
Bandle Tale: A League of Legends Story,1759380
Bang Bang Fruit,587810
